iter	Passed	Remaining
680	889	416
681	890	415
682	891	413
683	892	412
684	893	410
685	894	409
686	895	407
687	896	406
688	897	404
689	898	403
690	899	402
691	901	401
692	902	399
693	903	398
694	903	396
695	904	395
696	906	393
697	907	392
698	908	391
699	909	389
700	910	388
701	911	386
702	912	385
703	913	383
704	914	382
705	915	381
706	917	380
707	918	378
708	919	377
709	920	375
710	920	374
711	921	372
712	923	371
713	924	370
714	925	368
715	926	367
716	927	366
717	928	364
718	929	363
719	931	362
720	932	360
721	933	359
722	934	357
723	934	356
724	935	354
725	936	353
726	937	352
727	938	350
728	938	349
729	939	347
730	940	346
731	941	344
732	942	343
733	942	341
734	943	340
735	944	338
736	945	337
737	945	335
738	946	334
739	947	332
740	948	331
741	949	330
742	950	328
743	951	327
744	952	326
745	953	324
746	954	323
747	954	321
748	955	320
749	956	318
750	960	318
751	962	317
752	963	315
753	964	314
754	964	313
755	967	312
756	968	310
757	969	309
758	970	308
759	972	306
760	973	305
761	975	304
762	975	303
763	976	301
764	978	300
765	979	299
766	980	297
767	982	296
768	984	295
769	986	294
770	986	293
771	988	291
772	989	290
773	990	289
774	990	287
775	992	286
776	993	285
777	994	283
778	995	282
779	996	281
780	997	279
781	999	278
782	1001	277
783	1003	276
784	1004	275
785	1006	273
786	1007	272
787	1009	271
788	1012	270
789	1014	269
790	1014	268
791	1015	266
792	1017	265
793	1018	264
794	1018	262
795	1019	261
796	1020	260
797	1021	258
798	1025	257
799	1025	256
800	1026	254
801	1027	253
802	1028	252
803	1029	250
804	1030	249
805	1031	248
806	1033	247
807	1033	245
808	1034	244
809	1036	243
810	1036	241
811	1037	240
812	1038	238
813	1039	237
814	1039	236
815	1040	234
816	1041	233
817	1042	231
818	1043	230
819	1044	229
820	1046	228
821	1047	226
822	1047	225
823	1048	223
824	1049	222
825	1050	221
826	1051	219
827	1052	218
828	1054	217
829	1055	216
830	1055	214
831	1056	213
832	1057	212
833	1058	210
834	1059	209
835	1060	208
836	1061	206
837	1061	205
838	1062	203
839	1063	202
840	1064	201
841	1065	199
842	1067	198
843	1068	197
844	1069	196
845	1069	194
846	1070	193
847	1072	192
848	1072	190
849	1074	189
850	1077	188
851	1078	187
852	1079	186
853	1080	184
854	1081	183
855	1081	182
856	1082	180
857	1083	179
858	1083	177
859	1084	176
860	1085	175
861	1086	173
862	1087	172
863	1089	171
864	1090	170
865	1091	168
866	1091	167
867	1093	166
