iter	Passed	Remaining
911	1148	110
912	1149	109
913	1149	108
914	1150	106
915	1152	105
916	1153	104
917	1154	103
918	1155	101
919	1155	100
920	1165	99
921	1166	98
922	1167	97
923	1168	96
924	1169	94
925	1171	93
926	1173	92
927	1174	91
928	1175	89
929	1176	88
930	1176	87
931	1177	85
932	1179	84
933	1180	83
934	1180	82
935	1181	80
936	1189	79
937	1204	79
938	1221	79
939	1225	78
940	1232	77
941	1240	76
942	1245	75
943	1256	74
944	1272	74
945	1285	73
946	1287	72
947	1289	70
948	1293	69
949	1301	68
950	1302	67
951	1303	65
952	1304	64
953	1305	62
954	1307	61
955	1308	60
956	1309	58
957	1310	57
958	1312	56
959	1313	54
960	1315	53
961	1317	52
962	1319	50
963	1325	49
964	1328	48
965	1330	46
966	1331	45
967	1332	44
968	1334	42
969	1334	41
970	1335	39
971	1336	38
972	1337	37
973	1338	35
974	1338	34
975	1339	32
976	1340	31
977	1340	30
978	1343	28
979	1344	27
980	1346	26
981	1348	24
982	1349	23
983	1349	21
984	1352	20
985	1353	19
986	1354	17
987	1355	16
988	1357	15
989	1358	13
990	1359	12
991	1359	10
992	1360	9
993	1365	8
994	1366	6
995	1366	5
996	1367	4
997	1369	2
998	1372	1
999	1372	0
